sentiment,text
Positive,RT @Lisa_Luerssen: The worst debate in the history of Republican debates!! Thank You Senator Ted Cruz for what time you had to debate! #GOP…
Neutral,RT @ericstonestreet: Trump has Cam hands. #GOPDebates
Neutral,RT @Swoldemort: Now for your closing statements. Who is your daddy and what does he do? #GOPDebates http://t.co/pQeHfiFWLC
Negative,"RT @jamiaw: ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP"
Neutral,RT @goldietaylor: Closing statements! #GOPDebates http://t.co/950Mi0Erjz
Negative,"Literally I'm still pissed about the whole gay marriage issue. It's constitutional, please leave it at that, Republicans #GOPDebates"
Positive,#bencarson went hard at the end and busted in the #gopdebates face
Negative,"RT @SupermanHotMale: Dear Fox News, here is my closing argument, None of the Gop candidates said anything to help the suffering of women or…"
Negative,Now Ben Carson wants to try and be interesting.  #GOPDebates
Negative,#BenCaraon is dull and an embarrassment to ANY PERSON of color #GOPDebate #GOPDebates
Neutral,@MichelleMacFNC @CarlyFiorina won both debates. #GOPDebates
Negative,RT @RWSurferGirl: After @GovChristie hugged Obama he doesn't deserve to be on the stage tonight. 🇺🇸 #GOPDebates  #GOPDebates
Positive,That neuroscience shaaaade tho. Omg i wanna throw shade like that please @RealBenCarson #GOPDebates
Positive,"@tedcruz gets my vote after tonight, but Dr. Carson is a very close second. #GOPdebates"
Negative,LOL #bencarson #GOPDebates but seriously you didn't answer the question
Positive,#GOPDebates Dr Ben is damn funny!
Positive,RT @damongiles1973: Thank you Cruz!  Finally someone who pledges to reverse every Obama executive order day 1. Why is this so hard? #GOPDeb…
Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Negative,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates
Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Positive,Ben Carson rocks out the final thoughts!!!!! #GOPDebates #GOPDebate
Neutral,"I disagree but defend your right to your own opinion. Vive la difference!!
#GOPDebates @realDonaldTrump  https://t.co/kDbT7xfeUH"
Negative,"RT @jsc1835: No, Scott Walker, you didn't ""lash"" out at the protesters in Wisconsin... You just had them arrested.  #GOPDebates"
Negative,Seriously: GOP voters think God talks to presidential candidates? #ChristianBrotherhood #GOPDebates
Negative,"I want one of these white, and basically white men to just say-I'm rich,hella rich,I hate gays, blks and poor people VOTE FOR ME #GOPDebates"
Negative,"Is Ted Cruz's slogan ""If you hate Obama, vote for me""? Because boy is he pushing it #GOPDebates"
Negative,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸
Negative,"Ted Cruz ""undo all the Obama shit because"" smh #GOPDebates"
Negative,RT @goldietaylor: Closing statements! #GOPDebates http://t.co/950Mi0Erjz
Negative,RT @ShawnDrurySC: Jeb: My father was...OH NEVERMIND. Parenting is so overrated. #GOPDebates #BNRDebates
Negative,Twist! Carly Fiorina just ATE CHRIS CHRISTIE #GOPDebates
Negative,Ted Cruz couldn't be president of his own tree fort #GOPDebates
Negative,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸
Negative,Ted Cruz needs to find a suit that fits. #GOPDebates
Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Negative,#GOPDebates Cruz going to persecute religious liberty? Cool?
Negative,RT @ShawnDrurySC: Jeb: My father was...OH NEVERMIND. Parenting is so overrated. #GOPDebates #BNRDebates
Negative,"God said ""I'm G.O.D. not G.O.P, idiots. Leave me outta this."" #GOPDebates"
Negative,@BenCarson2016 and these zingers. Go away. #GOPDebates
Positive,Thank you Cruz!  Finally someone who pledges to reverse every Obama executive order day 1. Why is this so hard? #GOPDebates
Negative,"@megynkelly Why were there absolutely no questions on the jobs or economy? @FoxNews that's what is polling the highest, right? #GOPDebates"
Neutral,Moments from #GOPDebates - God and nothing else comes close.
Negative,RT @annleary: When did it become acceptable to have God be a topic in political debates in this country?  #GOPDebates #shameful
Negative,Jeb: My father was...OH NEVERMIND. Parenting is so overrated. #GOPDebates #BNRDebates
Neutral,Now for your closing statements. Who is your daddy and what does he do? #GOPDebates http://t.co/pQeHfiFWLC
Negative,RT @mandy_velez: So trans soldiers can die for you Huckabee but you can't foot the bill to make them fulfilled as human beings? Really? #GO…
Negative,#GOPDebates none of them answered any questions directly.
Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Positive,"RT @steven_br: God blessed our country, the Republican candidates....but NOT them democrats. -Rubio #Paraphrase #GOPDebates you... http://t…"
Negative,Is this a pity party? #GOPDebates
Positive,"RT @RWSurferGirl: Thanks Fox News, you're raising @realDonaldTrump 's ratings. 🇺🇸 #GOPDebate  #GOPDebates"
Negative,RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate  …
Negative,RT @Lisa_Luerssen: The worst debate in the history of Republican debates!! Thank You Senator Ted Cruz for what time you had to debate! #GOP…
Neutral,Obviously watching @TheDailyShow. There will be plenty other #GOPDebates to witness
Negative,How many of these people's parents fled Cuba?! MY GOD it was great there! #GOPDebates
Negative,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸
Negative,"RT @monaeltahawy: Carson, Carson, Carson: dammit man! Say the words racism and white supremacy to that audience! #BlackLiveMatter #GOPDebat…"
Negative,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates
Negative,RT @theyentareport: What? You want to know if any of the candidates hear strange voices in their head?  #mentalhealth #gopdebates http://t.…
Negative,RT @monaeltahawy: Perhaps they'll talk about racism if they're asked if God told them #BlackLiveeMatter #GOPDebates
Negative,RT @RWSurferGirl: I'm really really really pissed off at FOX News for what they did to @realDonaldTrump #GOPDebate  #GOPDebates 🇺🇸
Positive,"Cruz, go and take down other EOs in previous administrations that were illegal! #GOPDebates"
Negative,RT @RWSurferGirl: You would never know @realDonaldTrump  is the frontrunner from watching this debate. 🇺🇸 #GOPDebate  #GOPDebates
Negative,RT @monaeltahawy: Perhaps they'll talk about racism if they're asked if God told them #BlackLiveeMatter #GOPDebates
Neutral,Cruz will spend 1st day reversing Obama administration. Ha #GOPDebates
Negative,#GOPDebates Which flag are you going to blame on the continual murders in Chicago and Baltimore? U.S. Cities with high murder rates are Dem.
Negative,Like come on what about the separation of church and state you guys are killing me. Screw you Fox News. :/ #GOPDebates
Positive,#GOPdebates Kasich deserves more airtime!
Positive,RT @goldietaylor: Commercial break! #GOPDebates http://t.co/NdE2oeJLmH
Negative,"RT @SaintGrimlock: Trump was thinking message from God, I haven't told these other guys anything....#GOPDebates"
Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Negative,"RT @Just_JDreaming: Fox to Presidential Candidates: So lets all talk about God for a second.
 
Founding Fathers:
Jesus: 
#GOPDebates http:/…"
Negative,RT @RWSurferGirl: After @GovChristie hugged Obama he doesn't deserve to be on the stage tonight. 🇺🇸 #GOPDebates  #GOPDebates
Negative,How is everyone's ancestry relevant to how they will run the country? #GOPDebates
Negative,"RT @Just_JDreaming: Fox to Presidential Candidates: So lets all talk about God for a second.
 
Founding Fathers:
Jesus: 
#GOPDebates http:/…"
Negative,"RT @RWSurferGirl: Rubio and Bush are a threat to this country, 🇺🇸 #GOPDebate  #GOPDebates"
Negative,Hoping #BlackLivesMatter rips #Carson apart for his comments. #GOPdebates
Positive,#GOPDebates #ChrisChristie is no more conservative than Obama (whose hand he held while blaming GOP 4 Sandy!  http://t.co/gLubXG8WLV #pjnet
Negative,RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate  …
Neutral,RT @Wilberforce91: One of my favorite things about the #GOPDebates is how many of these candidates I've seen in person. Thanks @LibertyU &amp
Negative,"RT @DrBHotchkins: They were lynching Black folks in ""Jesus Name"" so what's the relevance of the God question? #GOPDebates #FoxDebate #FOXNE…"
Negative,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates
Neutral,Aight that's it @TheDailyShow Jon Stewart final ep time - laters #GOPDebates
Negative,"Only thing that makes Rand Paul a different type of republican is the #hair 
#GOPDebates"
Neutral,"RT @SaintGrimlock: Trump was thinking message from God, I haven't told these other guys anything....#GOPDebates"
Negative,RT @RWSurferGirl: You would never know @realDonaldTrump  is the frontrunner from watching this debate. 🇺🇸 #GOPDebate  #GOPDebates
Neutral,"""Read my lips! Tax. The. Pimps."" -Mike Huckabee #GOPDebates"
Negative,"RT @SupermanHotMale: Dear fox news moderator, you forgot to say chinese hacking started under the Bush Admin... #GopDebates"
Negative,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates
Negative,"RT @Just_JDreaming: Fox to Presidential Candidates: So lets all talk about God for a second.
 
Founding Fathers:
Jesus: 
#GOPDebates http:/…"
Negative,"RT @Just_JDreaming: Fox to Presidential Candidates: So lets all talk about God for a second.
 
Founding Fathers:
Jesus: 
#GOPDebates http:/…"
Negative,RT @monaeltahawy: Perhaps they'll talk about racism if they're asked if God told them #BlackLiveeMatter #GOPDebates
Negative,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates
Positive,RT @Wilberforce91: One of my favorite things about the #GOPDebates is how many of these candidates I've seen in person. Thanks @LibertyU &amp
Neutral,RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. 🇺🇸 #GOPDebates  #GOPDebates
Negative,Ok goodbye #GOPdebates time for #JonVoyage
Negative,"RT @monaeltahawy: Carson, Carson, Carson: dammit man! Say the words racism and white supremacy to that audience! #BlackLiveMatter #GOPDebat…"
Negative,And the #GOPDebates draw to a close with the same batshit self-assuredness of a cardboard sign on a highway offramp.
Negative,RT @annleary: When did it become acceptable to have God be a topic in political debates in this country?  #GOPDebates #shameful
Neutral,RT @Popehat: #GOPDebates Christie: you're putting America at risk with your fourth amendment talk
Negative,Funny all of um had middle-class up bringing-save for u know who. #GOPDebates
Positive,RT @Wilberforce91: One of my favorite things about the #GOPDebates is how many of these candidates I've seen in person. Thanks @LibertyU &amp
Neutral,Disagree. Kasich I feel will be the headlines. #GOPDebates  https://t.co/wKBKczFlYw
Negative,RT @IanGaryTweets: This is real life. These people are running for the most powerful office in the world. #GOPDebates http://t.co/LG74nHDeTw
Negative,RT @monaeltahawy: Has any candidate received a word from God?! Presidential hopefuls?! This is America?! Christian Brotherhood of America #…
Negative,With the amount of the 'G' word I'm seeing on my TL in regards to the #GOPDebates it's obvious the Evangelicals got 'em by the balls!!? 😊
Negative,"RT @Just_JDreaming: Fox to Presidential Candidates: So lets all talk about God for a second.
 
Founding Fathers:
Jesus: 
#GOPDebates http:/…"
Negative,Perhaps they'll talk about racism if they're asked if God told them #BlackLiveeMatter #GOPDebates
Neutral,It's a wrestling match. #gopdebates
Negative,These #GOPDebates 30 second last words are like the lamest freestyle raps ever.
Negative,"OK, can we cull the herd after these two #GOPDebates? Can we tell Pataki, Carson, Walker, Cruz and Perry to go home?"
Negative,@RandPaul is from Kentucky? Shouldn't he sound like #ColonelSanders? #MakesYouWonder #IsHeAnImpostor #GOPDebates
Neutral,"Rubio: My family came from Cuba, so nobody else gets to share in that American dream from Cuba! #GOPDebates"
Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Negative,This is real life. These people are running for the most powerful office in the world. #GOPDebates http://t.co/LG74nHDeTw
Negative,You're parents were Illegal Marco! Can I call you Marco? #GOPDebates
Negative,"I can't help but think Dr. Carson has been hoping his ""Gifted Hands"" can make a way for his flailing mouth. #GOPDebates"
Negative,"RT @shea_man: This isn't the republican primary, it's So You Think You Can Govern.  A new reality show. #DebateWithBernie #GOPDebate #GOPDe…"
Positive,Rubio is American Dream story. #GOPDebates
Negative,Rand Paul: Im a different kind of Republican. Im the only one who's campaign staff were picked up by the FBI this week. #GOPdebates
Negative,RT @ouleye_ndoye: Aaand the question about the racial divide goes to ... *drum roll* ... the only black man on stage. #GOPdebates #overit
Positive,RT @Wilberforce91: One of my favorite things about the #GOPDebates is how many of these candidates I've seen in person. Thanks @LibertyU &amp
Neutral,RT @rebecca_f: Does God have a super PAC? #GOPDebates
Negative,"RT @RWSurferGirl: Rubio and Bush are a threat to this country, 🇺🇸 #GOPDebate  #GOPDebates"
Negative,"So according to Rubio God has ""blessed"" Republicans with good candidates .but has NOT blessed the Democrats with one. WTF? #GOPDebates"
Neutral,"I wish one candidate would say, ""I will not take a salary as President until the nation is out of debt."" #GOPDebate #GOPDebates #Leadership"
Negative,"RT @monaeltahawy: Carson, Carson, Carson: dammit man! Say the words racism and white supremacy to that audience! #BlackLiveMatter #GOPDebat…"
Negative,When did it become acceptable to have God be a topic in political debates in this country?  #GOPDebates #shameful
Neutral,"Rand Paul should have gone with, 'I've got curly hair!' and dropped the mic. #GOPDebates"
Negative,RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…
Neutral,RT @Wilberforce91: One of my favorite things about the #GOPDebates is how many of these candidates I've seen in person. Thanks @LibertyU &amp
Neutral,RT @goldietaylor: Closing statements! #GOPDebates http://t.co/950Mi0Erjz
Negative,#GOPDebates Not very impressed how the three Fox moderators handled that debate.
Neutral,"RT @SupermanHotMale: Dear Senator Rubio, God has nothing to do with the Republican party... Get it right. #GopDebates"
Neutral,"Rand Paul be like: ""me me me me me me me"" #GOPDebates"
Negative,RT @goldietaylor: Closing statements! #GOPDebates http://t.co/950Mi0Erjz
Negative,"Cruz: ""I receive the word of God everyday..."" 

God: ""Don't blame me for this guy. There are pills for those voices.""

#GOPdebates"
Negative,RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate  …
Negative,"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates"
Negative,"Rand Paul, I'm a different kind of republican... yes, you are an sos pad dickhead. #Gopdebates"
Negative,"RT @MzDivah67: From watching the #GOPDebates it seems to me like #BlackLivesDontMatter  Bashing PBO over his ""failed policies"" is more impo…"
Negative,Christie's dad worked at ice-cream factory.  Now I see it. #GOPDebates
Positive,"RT @SalMasekela: Ben Carson, solidifying the black vote. #GOPDebates"
Negative,How embarrassing. The whole world is watching this and they must be asking what is going on. #GOPDebates #Republicandebaters #Bernie2016
Negative,RT @jsn2007: They fixed the VA yet there are no mammogram machines at our only VA hospital. #gopdebates
Negative,"""I don't know why the fuck I'm here""- Rand Paul #GOPDebates"
Negative,"I thought maybe @LILBTHEBASEDGOD was going to show up #GOPdebates but no 
:( http://t.co/dRSoj9pN8z"
Negative,"RT @NerdyNegress: #GOPdebates
This is No damn Christian revival. Cut it out."
Negative,Paul is the devil.... #GOPDebates I'm scared if he wins.
Negative,Christie's dad worked in an ice cream plant. That explains it. #GOPDebates
Negative,#RandPaul is an embarrassment #GOPDebates
Neutral,RT @goldietaylor: Closing statements! #GOPDebates http://t.co/950Mi0Erjz
Neutral,Who is God? #GOPDebates #ClownCar2016
Neutral,RT @goldietaylor: Closing statements! #GOPDebates http://t.co/950Mi0Erjz
Negative,Right??? #Kasich #GOPDebates #HOmeRun  https://t.co/yvX1bJ7OFJ
Positive,@RealBenCarson @jamiaw Best Statement of the night Dr Carson! Thank you 4 putting it n2 perspective 4 the ignorant n the world #GOPDebates
Negative,RT @SupermanHotMale: Dr. Carson talking about race is like trump talking about money. #Wrong #GopDebates
Positive,RT @Wilberforce91: One of my favorite things about the #GOPDebates is how many of these candidates I've seen in person. Thanks @LibertyU &amp
Negative,RT @Wilberforce91: One of my favorite things about the #GOPDebates is how many of these candidates I've seen in person. Thanks @LibertyU &amp
Negative,"RT @SupermanHotMale: Dear Ted Cruz, what do scriptures say about you lying about our very good President? That's what I thought #GopDebates"
Neutral,RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. 🇺🇸 #GOPDebates  #GOPDebates
Negative,Nowwww @FoxNews decides to put names on the screen when they're speaking. #TooLate #AlreadyGoogled #GOPDebates
Negative,RT @RWSurferGirl: .@GovChristie Just got his ass served to him by @RandPaul 🇺🇸 #GOPDebates  #GOPDebates
Negative,Fix New Jersey first @ChrisChristie #GOPDebates
Negative,"RT @monaeltahawy: Carson, Carson, Carson: dammit man! Say the words racism and white supremacy to that audience! #BlackLiveMatter #GOPDebat…"
Positive,How sweet. @ChrisChristie has family who served. What does anything he is saying have to do with veterans? #GOPDebates
Negative,RT @goldietaylor: Closing statements! #GOPDebates http://t.co/950Mi0Erjz
Neutral,RT @goldietaylor: Closing statements! #GOPDebates http://t.co/950Mi0Erjz
Negative,RT @msgoddessrises: Anyone who uses God's name for hate is a wolf in sheep's clothing. Matthew 23:1-15 #Cruz and #Huckabee are not men of G…
Positive,Ben Carlson nailed it on his comments about race and our own country trying to divide us!!! @FoxNews #GOPDebate #GOPDebates
Neutral,RT @goldietaylor: Closing statements! #GOPDebates http://t.co/950Mi0Erjz
Negative,RT @SupermanHotMale: Dr. Carson talking about race is like trump talking about money. #Wrong #GopDebates
Negative,"Yes, respect like saying you'll punch people in their faces! #GOPDebates"
Positive,RT @Wilberforce91: One of my favorite things about the #GOPDebates is how many of these candidates I've seen in person. Thanks @LibertyU &amp
Negative,RT @NateMJensen: Walker: God is cutting the UW budget. Talk to him. #GOPdebates
Negative,We cut the military and fight teachers. - #gopdebates
Negative,RT @ouleye_ndoye: Aaand the question about the racial divide goes to ... *drum roll* ... the only black man on stage. #GOPdebates #overit
Negative,RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate  …
